               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1093,            0.019896,            0.054864,           0.0021191,             0.40123,           0.0029484,          0.00077263,            0.084196,            0.014767,              0.0505,              0.0721,              0.0031,              0.0031
                   1,             0.07932,            0.026812,            0.049272,             0.24693,             0.09238,            0.057488,            0.017113,            0.070616,            0.014857,            0.046694,            0.043238,           0.0062376,           0.0062376
                   2,            0.066982,            0.025019,            0.044327,            0.095386,             0.27648,             0.13942,            0.041875,             0.06309,            0.011884,            0.040742,            0.014312,           0.0093119,           0.0093119
                   3,            0.063864,            0.022969,            0.038611,               0.378,             0.39105,             0.24727,            0.072174,            0.058437,            0.010579,            0.032594,            0.009703,            0.009703,            0.009703
                   4,            0.058616,            0.020536,            0.035015,             0.42403,             0.48524,             0.32133,             0.12717,            0.056792,            0.010229,             0.02707,            0.009703,            0.009703,            0.009703
                   5,            0.056023,            0.018827,            0.028464,             0.51594,             0.38186,             0.41454,             0.15235,            0.052034,           0.0095411,            0.022712,            0.009604,            0.009604,            0.009604
                   6,            0.050777,            0.018532,            0.024169,             0.62801,             0.54904,             0.54319,             0.22168,            0.047533,            0.009338,            0.019086,            0.009505,            0.009505,            0.009505
                   7,            0.047725,            0.017888,             0.01922,             0.69703,             0.63821,             0.65622,              0.2678,            0.046516,           0.0087841,             0.01596,            0.009406,            0.009406,            0.009406
                   8,            0.046479,            0.016907,            0.016171,             0.65872,             0.68492,             0.68507,             0.35146,            0.039582,           0.0083612,            0.013285,            0.009307,            0.009307,            0.009307
                   9,             0.04478,            0.016399,            0.014266,             0.67502,             0.72262,             0.76201,             0.35189,            0.043672,           0.0082304,            0.012054,            0.009208,            0.009208,            0.009208
                  10,            0.043768,            0.016026,            0.012627,             0.67101,             0.73623,              0.7901,             0.39414,             0.03791,           0.0086363,           0.0095591,            0.009109,            0.009109,            0.009109
                  11,            0.043377,            0.015956,             0.01056,             0.70058,             0.75437,              0.7922,             0.44095,            0.036457,           0.0084188,            0.010723,             0.00901,             0.00901,             0.00901
                  12,            0.040684,            0.015743,            0.009878,             0.76881,             0.82037,             0.82778,             0.43875,              0.0342,           0.0082743,           0.0084263,            0.008911,            0.008911,            0.008911
                  13,            0.039372,            0.015243,           0.0090221,             0.73601,             0.81801,             0.83268,             0.46096,            0.034246,           0.0084459,           0.0096216,            0.008812,            0.008812,            0.008812
                  14,            0.039181,            0.014685,           0.0077673,             0.72105,             0.83826,             0.83435,             0.47657,            0.034211,           0.0083704,           0.0082755,            0.008713,            0.008713,            0.008713
                  15,            0.037876,            0.015129,           0.0074692,             0.73779,             0.81337,               0.834,             0.49044,            0.035151,           0.0081066,           0.0076826,            0.008614,            0.008614,            0.008614
                  16,            0.037697,            0.015454,           0.0063722,             0.74789,             0.87267,             0.84582,             0.49979,            0.035628,           0.0078665,           0.0065434,            0.008515,            0.008515,            0.008515
                  17,            0.035783,            0.014731,           0.0065891,             0.73609,             0.84041,             0.84164,             0.49147,            0.036154,           0.0078669,           0.0065028,            0.008416,            0.008416,            0.008416
                  18,             0.03648,            0.014645,            0.005828,             0.74321,             0.85801,              0.8415,             0.47202,            0.034633,           0.0080757,           0.0067913,            0.008317,            0.008317,            0.008317
